Date,Obs,Pred,Low,High,Dif,CumDif,CumDifLow,CumDifHig
2020-12-01,101.45867165795497,130.3676935613745,115.82512079004863,144.91026633270036,-28.90902190341953,-28.90902190341953,-43.451594674745394,-14.403661253308513
2021-01-01,114.00227746456044,140.70842423630586,126.16585146498,155.25099700763172,-26.706146771745424,-55.61516867516495,-75.13305882437022,-37.56468133905362
2021-02-01,105.66568348198108,127.55348278862601,113.01091001730015,142.09605555995188,-21.887799306644936,-77.50296798180989,-101.20656579117224,-54.651015401541954
2021-03-01,111.73100727735616,144.4292398406449,129.88666706931903,158.97181261197076,-32.69823256328874,-110.20120054509863,-139.42733727723368,-83.33726286885317
2021-04-01,105.5366340395263,120.63841374709612,106.09584097577026,135.180986518422,-15.101779707569818,-125.30298025266845,-156.77106416164085,-96.91104108251304
2021-05-01,112.1955852701934,135.2460314506859,120.70345867936004,149.78860422201177,-23.0504461804925,-148.35342643316096,-181.97487068622206,-118.20387225733535
2021-06-01,110.82766118017264,137.97014899947646,123.4275762281506,152.51272177080233,-27.142487819303824,-175.4959142524648,-213.158046793942,-140.7066929411671
2021-07-01,119.0352057202972,146.5631714123822,132.02059864105632,161.10574418370805,-27.52796569208499,-203.02387994454978,-244.89280495248622,-167.6538205657898
2021-08-01,119.55140349011636,151.86416794453444,137.32159517320858,166.4067407158603,-32.31276445441809,-235.33664439896785,-278.49590918516816,-198.0677446383626
2021-09-01,121.28066601901054,152.87834621907788,138.33577344775202,167.42091899040375,-31.597680200067344,-266.9343245990352,-313.18888541027076,-225.6031452399447
2021-10-01,130.72708520670108,160.20107292215158,145.65850015082572,174.74364569347745,-29.473987715450505,-296.4083123144857,-342.8542151969317,-254.0904703897239
2021-11-01,128.84296334686115,162.82510478567903,148.28253201435317,177.3676775570049,-33.98214143881788,-330.39045375330363,-380.7949353347963,-284.7624621267331
2021-12-01,128.58486446195158,164.8742447107733,150.33167193944743,179.41681748209916,-36.289380248821715,-366.67983400212535,-418.6644729795098,-318.1912986911649
2022-01-01,135.21800580412773,166.4238860665063,151.88131329518043,180.96645883783216,-31.20588026237857,-397.8857142645039,-454.52183379044754,-347.08547386686763
2022-02-01,121.7194341233568,150.4147065710906,135.87213379976473,164.95727934241646,-28.695272447733785,-426.5809867122377,-485.1961648729171,-373.4399479143933
2022-03-01,135.63096401998305,169.61716465262296,155.0745918812971,184.15973742394883,-33.98620063263991,-460.5671873448776,-521.0155799402808,-406.65392197772746
