"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	54352	4887871	1112.0
	"Alabama"	"01"	"2019"	"2019"	54108	4903185	1103.5
	"Alabama"	"01"	"2020"	"2020"	64779	4921532	1316.2
	"Alabama"	"01"	"2021"	"2021"	68889	5039877	1366.9
	"Alabama"	"01"	"2022 (provisional)"	"2022"	62293	5039877	1236.0
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	40020	5039877	794.1
	"Alaska"	"02"	"2018"	"2018"	4453	737438	603.8
	"Alaska"	"02"	"2019"	"2019"	4613	731545	630.6
	"Alaska"	"02"	"2020"	"2020"	5170	731158	707.1
	"Alaska"	"02"	"2021"	"2021"	6208	732673	847.3
	"Alaska"	"02"	"2022 (provisional)"	"2022"	5719	732673	780.6
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	3453	732673	471.3
	"Arizona"	"04"	"2018"	"2018"	59282	7171646	826.6
	"Arizona"	"04"	"2019"	"2019"	60236	7278717	827.6
	"Arizona"	"04"	"2020"	"2020"	75747	7421401	1020.7
	"Arizona"	"04"	"2021"	"2021"	81442	7276316	1119.3
	"Arizona"	"04"	"2022 (provisional)"	"2022"	74082	7276316	1018.1
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	48495	7276316	666.5
	"Arkansas"	"05"	"2018"	"2018"	32336	3013825	1072.9
	"Arkansas"	"05"	"2019"	"2019"	32888	3017804	1089.8
	"Arkansas"	"05"	"2020"	"2020"	38108	3030522	1257.5
	"Arkansas"	"05"	"2021"	"2021"	40070	3025891	1324.2
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	37855	3025891	1251.0
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	24661	3025891	815.0
	"California"	"06"	"2018"	"2018"	268818	39557045	679.6
	"California"	"06"	"2019"	"2019"	269831	39512223	682.9
	"California"	"06"	"2020"	"2020"	319808	39368078	812.4
	"California"	"06"	"2021"	"2021"	333249	39237836	849.3
	"California"	"06"	"2022 (provisional)"	"2022"	313165	39237836	798.1
	"California"	"06"	"2023 (provisional and partial)"	"2023"	203523	39237836	518.7
	"Colorado"	"08"	"2018"	"2018"	38526	5695564	676.4
	"Colorado"	"08"	"2019"	"2019"	39390	5758736	684.0
	"Colorado"	"08"	"2020"	"2020"	46918	5807719	807.9
	"Colorado"	"08"	"2021"	"2021"	48281	5812069	830.7
	"Colorado"	"08"	"2022 (provisional)"	"2022"	46787	5812069	805.0
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	30715	5812069	528.5
	"Connecticut"	"09"	"2018"	"2018"	31230	3572665	874.1
	"Connecticut"	"09"	"2019"	"2019"	31745	3565287	890.4
	"Connecticut"	"09"	"2020"	"2020"	37853	3557006	1064.2
	"Connecticut"	"09"	"2021"	"2021"	34333	3605597	952.2
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	34583	3605597	959.1
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	22309	3605597	618.7
	"Delaware"	"10"	"2018"	"2018"	9433	967171	975.3
	"Delaware"	"10"	"2019"	"2019"	9302	973764	955.3
	"Delaware"	"10"	"2020"	"2020"	11072	986809	1122.0
	"Delaware"	"10"	"2021"	"2021"	11296	1003384	1125.8
	"Delaware"	"10"	"2022 (provisional)"	"2022"	11351	1003384	1131.3
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	7273	1003384	724.8
	"District of Columbia"	"11"	"2018"	"2018"	5008	702455	712.9
	"District of Columbia"	"11"	"2019"	"2019"	4927	705749	698.1
	"District of Columbia"	"11"	"2020"	"2020"	6198	712816	869.5
	"District of Columbia"	"11"	"2021"	"2021"	5833	670050	870.5
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	5385	670050	803.7
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	3266	670050	487.4
	"Florida"	"12"	"2018"	"2018"	205426	21299325	964.5
	"Florida"	"12"	"2019"	"2019"	207002	21477737	963.8
	"Florida"	"12"	"2020"	"2020"	239685	21733312	1102.8
	"Florida"	"12"	"2021"	"2021"	261369	21781128	1200.0
	"Florida"	"12"	"2022 (provisional)"	"2022"	239118	21781128	1097.8
	"Florida"	"12"	"2023 (provisional and partial)"	"2023"	160242	21781128	735.7
	"Georgia"	"13"	"2018"	"2018"	85202	10519475	809.9
	"Georgia"	"13"	"2019"	"2019"	85814	10617423	808.2
	"Georgia"	"13"	"2020"	"2020"	103075	10710017	962.4
	"Georgia"	"13"	"2021"	"2021"	112272	10799566	1039.6
	"Georgia"	"13"	"2022 (provisional)"	"2022"	102340	10799566	947.6
	"Georgia"	"13"	"2023 (provisional and partial)"	"2023"	64024	10799566	592.8
	"Hawaii"	"15"	"2018"	"2018"	11415	1420491	803.6
	"Hawaii"	"15"	"2019"	"2019"	11559	1415872	816.4
	"Hawaii"	"15"	"2020"	"2020"	12033	1407006	855.2
	"Hawaii"	"15"	"2021"	"2021"	12816	1441553	889.0
	"Hawaii"	"15"	"2022 (provisional)"	"2022"	13228	1441553	917.6
	"Hawaii"	"15"	"2023 (provisional and partial)"	"2023"	8780	1441553	609.1
	"Idaho"	"16"	"2018"	"2018"	14261	1754208	813.0
	"Idaho"	"16"	"2019"	"2019"	14430	1787065	807.5
	"Idaho"	"16"	"2020"	"2020"	16402	1826913	897.8
	"Idaho"	"16"	"2021"	"2021"	18346	1900923	965.1
	"Idaho"	"16"	"2022 (provisional)"	"2022"	17162	1900923	902.8
	"Idaho"	"16"	"2023 (provisional and partial)"	"2023"	11335	1900923	596.3
	"Illinois"	"17"	"2018"	"2018"	110022	12741080	863.5
	"Illinois"	"17"	"2019"	"2019"	109096	12671821	860.9
	"Illinois"	"17"	"2020"	"2020"	132663	12587530	1053.9
	"Illinois"	"17"	"2021"	"2021"	125048	12671469	986.8
	"Illinois"	"17"	"2022 (provisional)"	"2022"	122963	12671469	970.4
	"Illinois"	"17"	"2023 (provisional and partial)"	"2023"	77762	12671469	613.7
	"Indiana"	"18"	"2018"	"2018"	65693	6691878	981.7
	"Indiana"	"18"	"2019"	"2019"	66001	6732219	980.4
	"Indiana"	"18"	"2020"	"2020"	78194	6754953	1157.6
	"Indiana"	"18"	"2021"	"2021"	78317	6805985	1150.7
	"Indiana"	"18"	"2022 (provisional)"	"2022"	75368	6805985	1107.4
	"Indiana"	"18"	"2023 (provisional and partial)"	"2023"	47315	6805985	695.2
	"Iowa"	"19"	"2018"	"2018"	30367	3156145	962.2
	"Iowa"	"19"	"2019"	"2019"	30867	3155070	978.3
	"Iowa"	"19"	"2020"	"2020"	35981	3163561	1137.4
	"Iowa"	"19"	"2021"	"2021"	34215	3193079	1071.5
	"Iowa"	"19"	"2022 (provisional)"	"2022"	33973	3193079	1064.0
	"Iowa"	"19"	"2023 (provisional and partial)"	"2023"	22065	3193079	691.0
	"Kansas"	"20"	"2018"	"2018"	27537	2911505	945.8
	"Kansas"	"20"	"2019"	"2019"	27682	2913314	950.2
	"Kansas"	"20"	"2020"	"2020"	32060	2913805	1100.3
	"Kansas"	"20"	"2021"	"2021"	32029	2934582	1091.4
	"Kansas"	"20"	"2022 (provisional)"	"2022"	31551	2934582	1075.1
	"Kansas"	"20"	"2023 (provisional and partial)"	"2023"	20358	2934582	693.7
	"Kentucky"	"21"	"2018"	"2018"	48707	4468402	1090.0
	"Kentucky"	"21"	"2019"	"2019"	48990	4467673	1096.5
