"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	48	Not Applicable	Not Applicable
