CMS Certification Number (CCN),Provider Name,Phone,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,address,match,lat,lon
17000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,3342065341,Yes,Yes,Yes,Yes,Yes,Yes,"201 MONROE STREET, MONTGOMERY, AL, 36104",True,32.3787,-86.30618
17009,ENCOMPASS HEALTH HOME HEALTH,2058242680,Yes,Yes,Yes,Yes,Yes,Yes,"2970 LORNA ROAD, BIRMINGHAM, AL, 35216",False,,
17013,KINDRED AT HOME,3343470234,Yes,Yes,Yes,No,No,Yes,"1239 RUCKER BLVD, ENTERPRISE, AL, 36330",True,31.328545,-85.818054
17014,AMEDISYS HOME HEALTH,8664864919,Yes,Yes,Yes,Yes,Yes,Yes,"68278 MAIN STREET, BLOUNTSVILLE, AL, 35031",True,34.07172,-86.5878
17016,SOUTHEAST ALABAMA HOMECARE,3343474800,Yes,Yes,Yes,Yes,Yes,Yes,"804 GLOVER AVENUE, ENTERPRISE, AL, 36330",True,31.321428,-85.83466
17018,KINDRED AT HOME,2564421138,Yes,Yes,Yes,Yes,Yes,Yes,"3225 RAINBOW STREET, RAINBOW CITY, AL, 35906",True,33.96186,-86.03211
17020,AMEDISYS HOME HEALTH CARE,2513800492,Yes,Yes,Yes,Yes,Yes,Yes,"273 AZALEA ROAD, MOBILE, AL, 36609",True,30.673798,-88.14853
17024,SOUTHEAST ALABAMA HOMECARE,3347940591,Yes,Yes,Yes,Yes,Yes,Yes,"1435 ROSS CLARK CIRCLE, DOTHAN, AL, 36301",True,31.20184,-85.36753
17025,SAAD HEALTHCARE,2513439600,Yes,Yes,Yes,Yes,Yes,Yes,"1515 UNIVERSITY BLVD, MOBILE, AL, 36609",True,30.659496,-88.16132
17026,KINDRED AT HOME,2057397800,Yes,Yes,Yes,Yes,Yes,Yes,"2100 RIVERCHASE CTR, HOOVER, AL, 35244",False,,
17027,DECATUR MORGAN HOMECARE,2563504182,Yes,Yes,Yes,Yes,Yes,Yes,"575 3RD ST, MEEKER, CO, 81641",True,40.040997,-107.91043
17028,CENTRAL ALABAMA HOME CARE,2057837900,Yes,Yes,Yes,Yes,Yes,Yes,"350 E 7TH STREET SUITE 2, LOVELAND, CO, 80537",False,,
17034,COMFORT CARE COASTAL HOME HEALTH,2516214431,Yes,Yes,Yes,Yes,Yes,Yes,"12995 SHERIDAN BLVD SUITE 201, BROOMFIELD, CO, 80020",True,39.931828,-105.0531
17035,INFIRMARY HOMECARE,2514503300,Yes,Yes,Yes,Yes,Yes,Yes,"120 NORTH BOULEVARD, GUNNISON, CO, 81230",True,38.544693,-106.933365
17037,BAPTIST HOME HEALTH,3343955100,Yes,Yes,Yes,Yes,Yes,Yes,"304 INVERNESS WAY SOUTH STE 125, ENGLEWOOD, CO, 80112",True,39.564854,-104.86323
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,2568851665,Yes,Yes,Yes,Yes,Yes,Yes,"821 DESERT FLOWER BLVD, PUEBLO, CO, 81001",True,38.308517,-104.59643
17048,KINDRED AT HOME,3346843919,Yes,Yes,Yes,Yes,No,Yes,"9197 WEST 6TH AVE STE 1000, LAKEWOOD, CO, 80215",False,,
17050,SPECTRUM HOME HEALTH AGENCY,2565394457,Yes,Yes,Yes,Yes,Yes,Yes,"2764 COMPASS DRIVE SUITE 108B, GRAND JUNCTION, CO, 81506",True,39.116417,-108.54034
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,2058680147,Yes,Yes,Yes,Yes,Yes,Yes,"204 EAST 10TH AVENUE, SPRINGFIELD, CO, 81073",True,37.404095,-102.615005
17052,KINDRED AT HOME,2519433002,Yes,Yes,Yes,Yes,Yes,Yes,"3980 QUEBEC STREET SUITE 100, DENVER, CO, 80207",True,39.772305,-104.90231
17053,ENCOMPASS HEALTH HOME HEALTH,3347935758,Yes,Yes,Yes,Yes,Yes,Yes,"515 E RIVERVIEW AVE, FORT MORGAN, CO, 80701",True,40.2612,-103.79595
17054,KINDRED AT HOME,2058360777,Yes,Yes,Yes,Yes,Yes,Yes,"2101 SOUTH GARFIELD AVE, LOVELAND, CO, 80537",False,,
17055,KINDRED AT HOME,3343619806,Yes,Yes,Yes,Yes,Yes,Yes,"729 S TEJON ST, COLORADO SPRINGS, CO, 80903",False,,
17056,KINDRED AT HOME,3342701151,Yes,Yes,Yes,Yes,Yes,Yes,"2802 MADISON SQUARE DRIVE STE 100, LOVELAND, CO, 80538",True,40.421318,-105.05936
17058,KINDRED AT HOME,2516210882,Yes,Yes,Yes,Yes,Yes,Yes,"1901 GRAND AVE STE 206, GLENWOOD SPRINGS, CO, 81601",True,39.533318,-107.325226
17063,INTREPID USA HEALTHCARE SERVICES,2058773403,Yes,Yes,Yes,Yes,Yes,Yes,"6021 S SYRACUSE WAY STE 204, GREENWOOD VILLAGE, CO, 80111",True,39.605553,-104.8995
17066,SPRINGHILL HOME HEALTH AND HOSPICE,2514338172,Yes,Yes,Yes,Yes,Yes,Yes,"12100 E ILIFF AVE STE A-250, AURORA, CO, 80014",True,39.674797,-104.8471
17069,AMEDISYS HOME HEALTH OF FOLEY,8007636382,Yes,Yes,Yes,Yes,Yes,Yes,"177 CRAFT DRIVE, ALAMOSA, CO, 81101",True,37.47965,-105.8937
17070,AMEDISYS HOME HEALTH OF CITRONELLE,2518663261,Yes,Yes,Yes,Yes,Yes,Yes,"2000 VERMONT DRIVE #100, FORT COLLINS, CO, 80524",True,40.543213,-105.041306
17071,KINDRED AT HOME,2057397800,Yes,Yes,Yes,Yes,Yes,Yes,"1385 S COLORADO BLVD STE A306, DENVER, CO, 80222",True,39.69146,-104.94074
17072,AMEDISYS HOME HEALTH OF GREENVILLE,3343822042,Yes,Yes,Yes,No,No,Yes,"2675 S ABILENE ST SUITE 290, AURORA, CO, 80014",True,39.66817,-104.82845
17078,AMEDISYS HOME HEALTH OF REFORM,8002777445,Yes,Yes,Yes,Yes,Yes,Yes,"1843 E FIR AVENUE, FRESNO, CA, 93720",True,36.839157,-119.74977
17079,ENCOMPASS HEALTH HOME HEALTH,2056956736,Yes,Yes,No,Yes,No,Yes,"3000 S JAMAICA CT #175, AURORA, CO, 80014",True,39.66172,-104.862305
17080,DCH HOME HEALTH CARE AGENCY,2057597010,Yes,Yes,Yes,Yes,Yes,Yes,"731 SANSOME STREET, SAN FRANCISCO, CA, 94111",True,37.797092,-122.40196
